Country;deforestation;;;
Afghanistan;-30;;;
Albania;5;;;
Algeria;27;;;
American Samoa;n.s.;;;
Andorra;0;;;
Angola;-125;;;
Anguilla;0;;;
Antigua and Barbuda;0;;;
Argentina;-150;;;
Armenia;-5;;;
Aruba;0;;;
Australia;-193;;;
Austria;5;;;
Azerbaijan;0;;;
Bahamas;0;;;
Bahrain;n.s.;;;
Bangladesh;-2;;;
Barbados;0;;;
Belarus;9;;;
Belgium;0;;;
Belize;0;;;
Benin;-65;;;
Bermuda;0;;;
Bhutan;11;;;
Bolivia;-270;;;
Bosnia and Herzegovina;0;;;
Botswana;-118;;;
Brazil;-3,103;;;
British Indian Ocean Territory;0;;;
British Virgin Islands;n.s.;;;
Brunei Darussalam;-2;;;
Bulgaria;50;;;
Burkina Faso;-24;;;
Burundi;-9;;;
Cambodia;-219;;;
Cameroon;-220;;;
Canada;0;;;
Cape Verde;n.s.;;;
Cayman Islands;0;;;
Central African Republic;-30;;;
Chad;-79;;;
Channel Islands;0;;;
Chile;57;;;
China;4,058;;;
Colombia;-47;;;
Comoros;-1;;;
Congo;-17;;;
Cook Islands;0;;;
Costa Rica;3;;;
Côte d'Ivoire;15;;;
Croatia;1;;;
Cuba;56;;;
Cyprus;n.s.;;;
Czech Republic;2;;;
Democratic Republic of the Congo;-319;;;
Denmark;3;;;
Djibouti;0;;;
Dominica;n.s.;;;
Dominican Republic;0;;;
Ecuador;-198;;;
Egypt;2;;;
El Salvador;-5;;;
Equatorial Guinea;-15;;;
Eritrea;-4;;;
Estonia;8;;;
Ethiopia;-141;;;
Faeroe Islands;0;;;
Falkland Islands;0;;;
Fiji;0;;;
Finland;5;;;
France;41;;;
French Guiana;0;;;
French Polynesia;0;;;
Gabon;-10;;;
Gambia;2;;;
Georgia;n.s.;;;
Germany;0;;;
Ghana;-115;;;
Gibraltar;0;;;
Greece;30;;;
Greenland;0;;;
Grenada;0;;;
Guadeloupe;n.s.;;;
Guam;0;;;
Guatemala;-54;;;
Guinea;-36;;;
Guinea-Bissau;-10;;;
Guyana;0;;;
Haiti;-1;;;
Holy See;0;;;
Honduras;-156;;;
Hungary;14;;;
Iceland;2;;;
India;29;;;
Indonesia;-1,871;;;
Iran;0;;;
Iraq;1;;;
Ireland;12;;;
Isle of Man;0;;;
Israel;1;;;
Italy;106;;;
Jamaica;n.s.;;;
Japan;-2;;;
Jordan;0;;;
Kazakhstan;-6;;;
Kenya;-12;;;
Kiribati;0;;;
Kuwait;n.s.;;;
Kyrgyzstan;2;;;
Lao PDR;-78;;;
Latvia;11;;;
Lebanon;1;;;
Lesotho;n.s.;;;
Liberia;-60;;;
Libyan Arab Jamahiriya;0;;;
Liechtenstein;0;;;
Lithuania;16;;;
Luxembourg;0;;;
Macedonia;0;;;
Madagascar;-37;;;
Malawi;-33;;;
Malaysia;-140;;;
Maldives;0;;;
Mali;-100;;;
Malta;0;;;
Marshall Islands;-;;;
Martinique;0;;;
Mauritania;-10;;;
Mauritius;n.s.;;;
Mayotte;n.s.;;;
Mexico;-260;;;
Micronesia, Federated States of;0;;;
Monaco;0;;;
Mongolia;-83;;;
Montserrat;0;;;
Morocco;7;;;
Mozambique;-50;;;
Myanmar;-466;;;
Namibia;-74;;;
Nauru;0;;;
Nepal;-53;;;
Netherlands;1;;;
Netherlands Antilles;0;;;
New Caledonia;0;;;
New Zealand;17;;;
Nicaragua;-70;;;
Niger;-12;;;
Nigeria;-410;;;
Niue;n.s.;;;
North Korea;-127;;;
Northern Mariana Islands;n.s.;;;
Norway;17;;;
Oman;0;;;
Pakistan;-43;;;
Palau;n.s.;;;
Palestine, Occupied Territories;0;;;
Panama;-3;;;
Papua New Guinea;-139;;;
Paraguay;-179;;;
Peru;-94;;;
Philippines;-157;;;
Pitcairn;0;;;
Poland;27;;;
Portugal;40;;;
Puerto Rico;n.s.;;;
Qatar;0;;;
Republic of Moldova;1;;;
Réunion;-1;;;
Romania;1;;;
Russian Federation;-96;;;
Rwanda;27;;;
Saint Helena;0;;;
Saint Kitts and Nevis;0;;;
Saint Lucia;0;;;
Saint Pierre and Miquelon;0;;;
Saint Vincent and the Grenadines;n.s.;;;
Samoa;0;;;
San Marino;0;;;
Sao Tome and Principe;0;;;
Saudi Arabia;0;;;
Senegal;-45;;;
Serbia and Montenegro;9;;;
Seychelles;0;;;
Sierra Leone;-19;;;
Singapore;0;;;
Slovakia;2;;;
Slovenia;5;;;
Solomon Islands;-40;;;
Somalia;-77;;;
South Africa;0;;;
South Georgia - S. Sandwich Islands;0;;;
South Korea;-7;;;
Spain;296;;;
Sri Lanka;-30;;;
Sudan;-589;;;
Suriname;0;;;
Swaziland;5;;;
Sweden;11;;;
Switzerland;4;;;
Syrian Arab Republic;6;;;
Tajikistan;0;;;
Tanzania;-412;;;
Thailand;-59;;;
Timor-Leste;-11;;;
Togo;-20;;;
Tokelau;0;;;
Tonga;0;;;
Trinidad and Tobago;n.s.;;;
Tunisia;19;;;
Turkey;25;;;
Turkmenistan;0;;;
Turks and Caicos Islands;0;;;
Tuvalu;0;;;
Uganda;-86;;;
Ukraine;13;;;
United Arab Emirates;n.s.;;;
United Kingdom;10;;;
United States of America;159;;;
United States Virgin Islands;n.s.;;;
Uruguay;19;;;
Uzbekistan;17;;;
Vanuatu;0;;;
Venezuela;-288;;;
Viet Nam;241;;;
Wallis and Futuna Islands;n.s.;;;
Western Sahara;0;;;
Yemen;0;;;
Zambia;-445;;;
Zimbabwe;-313;;;
